result,choices
123,0,4
124,0,3
125,0,3
126,0,3
127,0,3
128,0,3
129,0,3
132,-1,4
134,-1,2
135,0,2
136,-1,2
137,0,2
138,0,2
139,0,2
142,0,3
143,0,2
145,0,2
146,0,2
147,0,2
148,0,2
149,0,2
152,0,3
153,0,2
154,0,2
156,0,2
157,0,2
158,0,2
159,0,2
162,0,3
163,0,2
164,0,2
165,0,2
167,0,2
168,0,2
169,0,2
172,-1,3
173,0,2
174,-1,2
175,0,2
176,0,2
178,-1,2
179,0,2
182,0,3
183,0,2
184,0,2
185,0,2
186,0,2
187,0,2
189,0,2
192,-1,3
193,0,2
194,-1,2
195,0,2
196,-1,2
197,0,2
198,-1,2
213,0,4
214,0,3
215,0,3
216,0,3
217,0,3
218,0,3
219,0,3
231,0,4
234,0,1
235,0,1
236,0,1
237,0,1
238,0,1
239,0,1
241,1,3
243,0,1
245,0,1
246,0,1
247,0,1
248,0,1
249,0,1
251,0,3
253,0,1
254,0,1
256,0,1
257,0,1
258,0,1
259,0,1
261,0,3
263,1,1
264,0,1
265,0,1
267,0,1
268,0,1
269,0,1
271,0,3
273,0,1
274,0,1
275,0,1
276,0,1
278,0,1
279,0,1
281,0,3
283,0,1
284,0,1
285,0,1
286,0,1
287,0,1
289,0,1
291,0,3
293,0,1
294,0,1
295,0,1
296,0,1
297,0,1
298,0,1
312,-1,4
314,-1,2
315,0,2
316,-1,2
317,0,2
318,0,2
319,0,2
321,0,4
324,0,1
325,0,1
326,0,1
327,0,1
328,0,1
329,0,1
341,0,2
342,0,1
345,0,1
346,0,1
347,0,1
348,0,1
349,0,1
351,0,2
352,0,1
354,0,1
356,0,1
357,0,1
358,0,1
359,0,1
361,0,2
362,0,1
364,0,1
365,0,1
367,0,1
368,0,1
369,0,1
371,0,2
372,-1,1
374,-1,1
375,0,1
376,-1,1
378,-1,1
379,0,1
381,0,2
382,0,1
384,0,1
385,0,1
386,0,1
387,0,1
389,0,1
391,0,2
392,-1,1
394,0,1
395,0,1
396,-1,1
397,0,1
398,-1,1
412,0,3
413,0,2
415,0,2
416,0,2
417,0,2
418,0,2
419,0,2
421,1,3
423,0,1
425,0,1
426,0,1
427,0,1
428,0,1
429,0,1
431,0,2
432,0,1
435,0,1
436,0,1
437,0,1
438,0,1
439,0,1
451,0,2
452,0,1
453,0,1
456,0,1
457,0,1
458,0,1
459,0,1
461,0,2
462,0,1
463,0,1
465,0,1
467,0,1
468,0,1
469,0,1
471,0,2
472,0,1
473,0,1
475,0,1
476,0,1
478,0,1
479,0,1
481,0,2
482,0,1
483,0,1
485,0,1
486,0,1
487,1,1
489,0,1
491,0,2
492,0,1
493,0,1
495,0,1
496,0,1
497,0,1
498,0,1
512,0,3
513,0,2
514,0,2
516,0,2
517,0,2
518,0,2
519,0,2
521,0,3
523,0,1
524,0,1
526,0,1
527,0,1
528,0,1
529,0,1
531,0,2
532,0,1
534,0,1
536,0,1
537,0,1
538,0,1
539,0,1
541,0,2
542,0,1
543,0,1
546,0,1
547,0,1
548,0,1
549,0,1
561,0,2
562,0,1
563,0,1
564,0,1
567,0,1
568,0,1
569,0,1
571,0,2
572,0,1
573,0,1
574,0,1
576,0,1
578,0,1
579,0,1
581,0,2
582,0,1
583,0,1
584,0,1
586,0,1
587,0,1
589,0,1
591,0,2
592,0,1
593,0,1
594,0,1
596,0,1
597,0,1
598,0,1
612,0,3
613,0,2
614,0,2
615,0,2
617,0,2
618,0,2
619,0,2
621,0,3
623,1,1
624,0,1
625,0,1
627,0,1
628,0,1
629,0,1
631,0,2
632,0,1
634,0,1
635,0,1
637,0,1
638,0,1
639,0,1
641,0,2
642,0,1
643,0,1
645,0,1
647,0,1
648,0,1
649,0,1
651,0,2
652,0,1
653,0,1
654,0,1
657,0,1
658,0,1
659,0,1
671,0,2
672,0,1
673,0,1
674,0,1
675,0,1
678,0,1
679,0,1
681,0,2
682,0,1
683,0,1
684,0,1
685,0,1
687,0,1
689,1,1
691,0,2
692,0,1
693,0,1
694,0,1
695,0,1
697,0,1
698,0,1
712,-1,3
713,0,2
714,-1,2
715,0,2
716,0,2
718,-1,2
719,0,2
721,0,3
723,0,1
724,0,1
725,0,1
726,0,1
728,0,1
729,0,1
731,0,2
732,-1,1
734,-1,1
735,0,1
736,-1,1
738,-1,1
739,0,1
741,0,2
742,0,1
743,0,1
745,0,1
746,0,1
748,0,1
749,0,1
751,0,2
752,0,1
753,0,1
754,0,1
756,0,1
758,0,1
759,0,1
761,0,2
762,0,1
763,0,1
764,0,1
765,0,1
768,0,1
769,0,1
781,0,2
782,0,1
783,0,1
784,0,1
785,0,1
786,0,1
789,0,1
791,0,2
792,0,1
793,0,1
794,-1,1
795,0,1
796,-1,1
798,-1,1
812,0,3
813,0,2
814,0,2
815,0,2
816,0,2
817,0,2
819,0,2
821,0,3
823,0,1
824,0,1
825,0,1
826,0,1
827,0,1
829,0,1
831,0,2
832,0,1
834,0,1
835,0,1
836,0,1
837,0,1
839,0,1
841,0,2
842,0,1
843,0,1
845,0,1
846,0,1
847,1,1
849,0,1
851,0,2
852,0,1
853,0,1
854,0,1
856,0,1
857,0,1
859,0,1
861,0,2
862,0,1
863,0,1
864,0,1
865,0,1
867,0,1
869,1,1
871,0,2
872,0,1
873,0,1
874,0,1
875,0,1
876,0,1
879,0,1
891,0,2
892,0,1
893,0,1
894,0,1
895,0,1
896,0,1
897,0,1
912,-1,3
913,0,2
914,-1,2
915,0,2
916,-1,2
917,0,2
918,-1,2
921,0,3
923,0,1
924,0,1
925,0,1
926,0,1
927,0,1
928,0,1
931,0,2
932,-1,1
934,0,1
935,0,1
936,-1,1
937,0,1
938,-1,1
941,0,2
942,0,1
943,0,1
945,0,1
946,0,1
947,0,1
948,0,1
951,0,2
952,0,1
953,0,1
954,0,1
956,0,1
957,0,1
958,0,1
961,0,2
962,0,1
963,0,1
964,0,1
965,0,1
967,0,1
968,0,1
971,0,2
972,0,1
973,0,1
974,-1,1
975,0,1
976,-1,1
978,-1,1
981,0,2
982,0,1
983,0,1
984,0,1
985,0,1
986,0,1
987,0,1
